soc_code,typical_education,typical_experience,typical_training,growth_pct,openings_k,median_wage,current_emp_k,proj_emp_k
51-6062,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-11.7,1.0,37940.0,9.299999999999999,8.2
51-6063,High school diploma or equivalent,No experience required,Short-term on-the-job training,-11.2,1.7,38260.0,15.299999999999999,13.6
51-6064,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-9.0,2.5,37660.0,21.7,19.8
51-6090,,,,-4.0,,,55.300000000000004,53.1
51-6091,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-1.1,2.0,44980.0,15.2,15.0
51-6092,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-10.2,0.3,67670.0,2.8,2.5
51-6093,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-1.8,2.2,46190.0,22.7,22.3
51-6099,High school diploma or equivalent,No experience required,Short-term on-the-job training,-9.4,1.7,37010.0,14.700000000000001,13.3
51-7000,,,,-1.8,,,233.60000000000002,229.3
51-7011,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-1.6,8.1,46020.0,86.10000000000001,84.7
51-7021,High school diploma or equivalent,No experience required,Short-term on-the-job training,-3.3,2.0,42530.0,20.5,19.8
51-7030,,,,-4.6,,,1.4000000000000001,1.3
51-7031,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-4.5,0.1,51850.0,0.9,0.9
51-7032,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-5.0,0.0,52520.0,0.4,0.4
51-7040,,,,-1.3,,,108.0,106.6
51-7041,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-0.6,4.8,39950.0,45.0,44.7
51-7042,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-1.8,6.4,40440.0,63.0,61.9
51-7099,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-4.4,1.8,41220.0,17.6,16.8
51-8000,,,,-5.3,,,297.9,282.0
51-8010,,,,-10.1,,,46.6,41.9
51-8011,High school diploma or equivalent,No experience required,Long-term on-the-job training,-15.3,0.4,122610.0,5.800000000000001,4.9
51-8012,High school diploma or equivalent,No experience required,Long-term on-the-job training,-3.2,0.8,107240.0,9.3,9.0
51-8013,High school diploma or equivalent,No experience required,Long-term on-the-job training,-11.2,2.5,99670.0,31.5,28.0
51-8021,High school diploma or equivalent,No experience required,Long-term on-the-job training,2.2,3.8,75190.0,33.3,34.0
51-8031,High school diploma or equivalent,No experience required,Long-term on-the-job training,-6.5,10.7,58260.0,132.5,123.8
51-8090,,,,-3.8,,,85.5,82.3
51-8091,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-6.1,1.6,73540.0,18.1,17.0
51-8092,High school diploma or equivalent,No experience required,Long-term on-the-job training,-8.8,1.3,83400.0,16.2,14.8
51-8093,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-2.8,3.2,97540.0,35.0,34.0
51-8099,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,1.6,1.6,61710.0,16.3,16.6
51-9000,,,,-0.8,,,2622.3,2601.5
51-9010,,,,1.0,,,183.29999999999998,185.2
51-9011,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,3.3,14.4,57090.0,128.79999999999998,133.1
51-9012,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-4.3,5.4,49500.0,54.3,52.0
51-9020,,,,-7.1,,,141.6,131.5
51-9021,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-2.5,2.7,46890.0,28.599999999999998,27.9
51-9022,No formal educational credential,No experience required,Moderate-term on-the-job training,-21.2,0.8,41690.0,11.8,9.3
51-9023,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-6.8,8.8,47680.0,101.1,94.3
51-9030,,,,-4.3,,,56.0,53.6
51-9031,No formal educational credential,No experience required,Short-term on-the-job training,-18.1,0.6,38800.0,7.0,5.7
51-9032,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-2.3,5.3,45700.0,49.0,47.9
51-9041,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,2.0,5.2,45130.0,57.3,58.4
51-9051,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,3.0,1.9,47010.0,16.5,17.0
51-9061,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,0.0,69.9,47460.0,598.0,598.1
51-9071,High school diploma or equivalent,No experience required,Long-term on-the-job training,-5.5,4.0,49140.0,35.1,33.2
51-9080,,,,-1.1,,,66.7,66.0
51-9081,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-4.7,3.9,48310.0,35.2,33.6
51-9082,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,3.7,1.5,47060.0,12.0,12.4
51-9083,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,2.3,2.4,38420.0,19.5,20.0
51-9111,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,4.5,45.3,40900.0,381.2,398.2
51-9120,,,,0.7,,,174.29999999999998,175.6
51-9123,No formal educational credential,No experience required,Moderate-term on-the-job training,1.4,0.8,40860.0,8.8,8.9
51-9124,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,0.7,15.8,47590.0,165.5,166.7
51-9141,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,10.9,3.9,51180.0,31.9,35.4
51-9151,High school diploma or equivalent,No experience required,Short-term on-the-job training,-2.6,1.5,40100.0,11.200000000000001,10.9
51-9160,,,,-7.5,,,205.4,190.0
51-9161,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-10.7,13.5,49970.0,177.1,158.1
51-9162,Postsecondary nondegree award,No experience required,Moderate-term on-the-job training,12.8,3.1,65670.0,28.299999999999997,31.9
