soc_code,typical_education,typical_experience,typical_training,growth_pct,openings_k,median_wage,current_emp_k,proj_emp_k
25-2030,,,,-1.6,,,1197.9,1178.2
25-2031,Bachelor's degree,No experience required,No on-the-job training,-1.6,66.2,64580.0,1094.5,1076.7
25-2032,Bachelor's degree,Less than 5 years,No on-the-job training,-1.8,6.2,63910.0,103.4,101.5
25-2050,,,,-1.4,,,559.5,551.8
25-2051,Bachelor's degree,No experience required,No on-the-job training,1.4,2.1,62190.0,29.3,29.7
25-2052,Bachelor's degree,No experience required,No on-the-job training,-1.8,15.4,63000.0,230.2,226.1
25-2057,Bachelor's degree,No experience required,No on-the-job training,-1.9,6.3,64880.0,94.8,93.0
25-2058,Bachelor's degree,No experience required,No on-the-job training,-1.6,11.1,69590.0,164.1,161.5
25-2059,Bachelor's degree,No experience required,No on-the-job training,1.1,2.9,67430.0,41.1,41.5
25-3000,,,,1.4,,,1337.6999999999998,1357.1
25-3011,Bachelor's degree,No experience required,No on-the-job training,-13.7,3.9,59950.0,40.9,35.3
25-3021,High school diploma or equivalent,Less than 5 years,No on-the-job training,3.7,51.4,45590.0,417.5,433.0
25-3031,Bachelor's degree,No experience required,No on-the-job training,1.6,61.1,38470.0,510.1,518.5
25-3041,"Some college, no degree",No experience required,No on-the-job training,0.6,37.1,40090.0,215.5,216.8
25-3099,Bachelor's degree,No experience required,No on-the-job training,-0.1,18.0,64690.0,153.7,153.5
25-4000,,,,-0.3,,,260.8,260.1
25-4010,,,,5.6,,,40.1,42.4
25-4011,Master's degree,No experience required,No on-the-job training,3.8,1.1,61570.0,9.299999999999999,9.7
25-4012,Master's degree,No experience required,No on-the-job training,7.0,1.8,61770.0,15.1,16.2
25-4013,Bachelor's degree,No experience required,No on-the-job training,5.4,1.9,47460.0,15.7,16.5
25-4022,Master's degree,No experience required,No on-the-job training,1.7,13.5,64320.0,142.1,144.5
25-4031,Postsecondary nondegree award,No experience required,No on-the-job training,-6.8,13.0,39970.0,78.60000000000001,73.2
25-9000,,,,-0.5,,,1993.4,1982.9
25-9021,Master's degree,No experience required,No on-the-job training,-2.5,1.1,58120.0,12.4,12.1
25-9031,Master's degree,5 years or more,No on-the-job training,1.3,21.9,74720.0,232.6,235.5
25-9040,,,,-0.9,,,1616.3999999999999,1601.3
25-9044,Bachelor's degree,No experience required,No on-the-job training,3.1,24.6,44930.0,193.6,199.6
25-9045,"Some college, no degree",No experience required,No on-the-job training,-1.5,170.4,35240.0,1422.8,1401.7
25-9099,Bachelor's degree,No experience required,No on-the-job training,1.5,12.5,48400.0,132.0,134.0
27-1000,,,,2.3,,,950.3,971.8
27-1010,,,,2.7,,,244.10000000000002,250.8
27-1011,Bachelor's degree,5 years or more,No on-the-job training,4.2,12.3,111040.0,135.0,140.7
27-1012,No formal educational credential,No experience required,Long-term on-the-job training,2.1,1.0,38480.0,11.700000000000001,11.9
27-1013,Bachelor's degree,No experience required,Long-term on-the-job training,-1.2,2.2,60560.0,26.5,26.2
27-1014,Bachelor's degree,No experience required,No on-the-job training,1.6,5.0,99800.0,57.1,58.0
27-1019,No formal educational credential,No experience required,Long-term on-the-job training,0.8,1.2,72760.0,13.9,14.0
27-1020,,,,2.1,,,706.1,721.0
27-1021,Bachelor's degree,No experience required,No on-the-job training,3.2,2.5,79450.0,30.6,31.6
27-1022,Bachelor's degree,No experience required,No on-the-job training,2.0,2.3,80690.0,25.7,26.2
27-1023,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-5.9,5.1,36120.0,43.800000000000004,41.2
27-1024,Bachelor's degree,No experience required,No on-the-job training,2.1,20.0,61300.0,265.8,271.5
27-1025,Bachelor's degree,No experience required,No on-the-job training,3.2,7.8,63490.0,87.10000000000001,89.9
27-1026,High school diploma or equivalent,No experience required,Short-term on-the-job training,3.2,20.8,37350.0,193.10000000000002,199.3
27-1027,Bachelor's degree,No experience required,No on-the-job training,2.3,2.5,66280.0,31.3,32.0
27-1029,Bachelor's degree,No experience required,No on-the-job training,2.0,2.2,66220.0,28.599999999999998,29.2
27-2000,,,,4.1,,,854.1,889.4
27-2010,,,,3.8,,,224.0,232.4
27-2011,"Some college, no degree",No experience required,Long-term on-the-job training,0.3,6.3,1.0,56.9,57.1
27-2012,Bachelor's degree,Less than 5 years,No on-the-job training,4.9,12.8,83480.0,166.89999999999998,175.2
27-2020,,,,6.3,,,344.90000000000003,366.6
27-2021,No formal educational credential,No experience required,Long-term on-the-job training,5.5,2.1,62360.0,19.2,20.2
27-2022,Bachelor's degree,No experience required,No on-the-job training,6.4,41.8,45920.0,306.5,326.0
27-2023,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,5.7,4.6,38820.0,19.299999999999997,20.4
27-2030,,,,4.9,,,17.0,17.8
27-2031,No formal educational credential,No experience required,Long-term on-the-job training,4.5,1.8,1.0,12.3,12.9
27-2032,High school diploma or equivalent,5 years or more,Long-term on-the-job training,6.1,0.7,55600.0,4.6000000000000005,4.9
27-2040,,,,0.8,,,217.10000000000002,218.8
27-2041,Bachelor's degree,Less than 5 years,No on-the-job training,-0.3,4.3,63670.0,47.300000000000004,47.2
27-2042,No formal educational credential,No experience required,Long-term on-the-job training,1.1,19.4,1.0,169.79999999999998,171.6
27-2090,,,,5.3,,,51.199999999999996,53.9
27-2091,High school diploma or equivalent,No experience required,Short-term on-the-job training,3.8,1.5,1.0,15.4,16.0
27-2099,No formal educational credential,No experience required,Short-term on-the-job training,6.0,4.4,1.0,35.9,38.0
27-3000,,,,2.4,,,824.3,844.4
27-3011,Bachelor's degree,No experience required,No on-the-job training,-5.5,2.3,45680.0,24.1,22.8
27-3023,Bachelor's degree,No experience required,No on-the-job training,-3.9,4.1,60280.0,49.3,47.4
27-3031,Bachelor's degree,No experience required,No on-the-job training,4.8,27.6,69780.0,316.0,331.0
27-3040,,,,2.0,,,307.59999999999997,313.7
27-3041,Bachelor's degree,Less than 5 years,No on-the-job training,0.6,9.8,75260.0,115.8,116.5
27-3042,Bachelor's degree,Less than 5 years,Short-term on-the-job training,0.9,4.5,91670.0,56.4,56.9
27-3043,Bachelor's degree,No experience required,Long-term on-the-job training,3.6,13.4,72270.0,135.4,140.3
27-3090,,,,1.7,,,127.3,129.5
27-3091,Bachelor's degree,No experience required,No on-the-job training,1.7,6.9,59440.0,75.3,76.6
27-3092,Postsecondary nondegree award,No experience required,Short-term on-the-job training,-0.3,1.7,67310.0,17.7,17.7
27-3099,High school diploma or equivalent,No experience required,Short-term on-the-job training,2.7,3.0,71770.0,34.4,35.3
27-4000,,,,1.7,,,392.29999999999995,398.9
27-4010,,,,1.0,,,146.2,147.7
27-4011,Postsecondary nondegree award,No experience required,Short-term on-the-job training,3.3,7.3,54830.0,92.30000000000001,95.4
27-4012,Associate's degree,No experience required,Short-term on-the-job training,-2.8,1.8,53920.0,24.9,24.2
27-4014,Postsecondary nondegree award,No experience required,Short-term on-the-job training,-1.7,1.2,66430.0,16.900000000000002,16.6
27-4015,Postsecondary nondegree award,No experience required,Short-term on-the-job training,-4.6,0.8,60560.0,12.1,11.5
27-4021,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,1.8,12.7,42520.0,151.2,154.0
27-4030,,,,2.7,,,79.89999999999999,82.1
27-4031,Bachelor's degree,No experience required,No on-the-job training,1.2,2.9,68810.0,36.5,36.9
27-4032,Bachelor's degree,No experience required,No on-the-job training,4.0,3.6,70980.0,43.5,45.2
27-4099,High school diploma or equivalent,No experience required,Short-term on-the-job training,0.6,1.1,67190.0,15.1,15.2
29-1000,,,,7.8,,,6715.200000000001,7241.6
29-1011,Doctoral or professional degree,No experience required,No on-the-job training,9.5,2.8,79000.0,57.2,62.6
29-1020,,,,4.0,,,149.29999999999998,155.2
29-1021,Doctoral or professional degree,No experience required,No on-the-job training,4.1,3.9,172790.0,129.79999999999998,135.2
29-1022,Doctoral or professional degree,No experience required,Internship/residency,4.1,0.2,239200.0,6.1000000000000005,6.4
29-1023,Doctoral or professional degree,No experience required,Internship/residency,4.4,0.2,239200.0,5.9,6.2
29-1024,Doctoral or professional degree,No experience required,Internship/residency,4.5,0.0,239200.0,0.9,0.9
29-1029,Doctoral or professional degree,No experience required,Internship/residency,0.3,0.2,225770.0,6.6,6.6
29-1031,Bachelor's degree,No experience required,Internship/residency,5.5,6.2,73850.0,90.9,95.9
29-1041,Doctoral or professional degree,No experience required,No on-the-job training,8.0,2.4,134830.0,47.800000000000004,51.6
29-1051,Doctoral or professional degree,No experience required,No on-the-job training,4.6,14.2,137480.0,335.1,350.5
29-1071,Master's degree,No experience required,No on-the-job training,20.4,12.0,133260.0,162.60000000000002,195.8
29-1081,Doctoral or professional degree,No experience required,Internship/residency,1.8,0.3,152800.0,9.700000000000001,9.9
29-1120,,,,12.2,,,869.3,975.3
29-1122,Master's degree,No experience required,No on-the-job training,13.8,10.2,98340.0,160.0,182.1
29-1123,Doctoral or professional degree,No experience required,No on-the-job training,10.9,13.2,101020.0,267.09999999999997,296.4
29-1124,Associate's degree,No experience required,No on-the-job training,1.9,0.9,101990.0,19.200000000000003,19.6
29-1125,Bachelor's degree,No experience required,No on-the-job training,3.3,1.3,60280.0,16.1,16.6
29-1126,Associate's degree,No experience required,No on-the-job training,12.1,8.8,80450.0,139.6,156.4
29-1127,Master's degree,No experience required,Internship/residency,15.0,13.3,95410.0,187.3,215.5
29-1128,Bachelor's degree,No experience required,No on-the-job training,9.5,1.7,58160.0,23.8,26.1
29-1129,Bachelor's degree,No experience required,No on-the-job training,11.5,4.1,65010.0,56.1,62.5
29-1131,Doctoral or professional degree,No experience required,No on-the-job training,9.6,3.0,125510.0,86.4,94.7
29-1141,Bachelor's degree,No experience required,No on-the-job training,4.9,189.1,93600.0,3391.0,3557.1
29-1151,Master's degree,No experience required,No on-the-job training,8.6,2.7,223210.0,53.9,58.5
29-1161,Master's degree,No experience required,No on-the-job training,11.1,0.5,128790.0,8.6,9.5
29-1171,Master's degree,No experience required,No on-the-job training,40.1,29.5,129210.0,320.4,448.8
29-1181,Doctoral or professional degree,No experience required,No on-the-job training,9.5,0.7,92120.0,15.8,17.3
29-1210,,,,2.8,,,785.6,807.7
29-1211,Doctoral or professional degree,No experience required,Internship/residency,3.2,1.3,239200.0,45.300000000000004,46.7
29-1212,Doctoral or professional degree,No experience required,Internship/residency,4.1,0.6,239200.0,19.4,20.2
29-1213,Doctoral or professional degree,No experience required,Internship/residency,6.4,0.4,239200.0,10.9,11.6
29-1214,Doctoral or professional degree,No experience required,Internship/residency,2.7,1.0,239200.0,36.1,37.1
29-1215,Doctoral or professional degree,No experience required,Internship/residency,2.7,3.3,238380.0,116.0,119.1
29-1216,Doctoral or professional degree,No experience required,Internship/residency,3.3,2.1,236350.0,73.19999999999999,75.6
29-1217,Doctoral or professional degree,No experience required,Internship/residency,5.4,0.3,239200.0,8.3,8.8
29-1218,Doctoral or professional degree,No experience required,Internship/residency,1.2,0.6,239200.0,21.4,21.7
29-1221,Doctoral or professional degree,No experience required,Internship/residency,0.8,1.2,210130.0,46.4,46.8
29-1222,Doctoral or professional degree,No experience required,Internship/residency,4.2,0.4,239200.0,12.6,13.1
29-1223,Doctoral or professional degree,No experience required,Internship/residency,6.1,0.9,239200.0,27.1,28.8
29-1224,Doctoral or professional degree,No experience required,Internship/residency,2.7,0.8,239200.0,28.2,29.0
29-1229,Doctoral or professional degree,No experience required,Internship/residency,2.5,9.6,239200.0,340.7,349.3
29-1240,,,,4.0,,,53.4,55.5
29-1241,Doctoral or professional degree,No experience required,Internship/residency,4.3,0.3,239200.0,12.6,13.1
29-1242,Doctoral or professional degree,No experience required,Internship/residency,4.1,0.4,239200.0,14.700000000000001,15.3
29-1243,Doctoral or professional degree,No experience required,Internship/residency,1.5,0.0,239200.0,1.1,1.1
29-1249,Doctoral or professional degree,No experience required,Internship/residency,3.9,0.6,239200.0,25.0,26.0
29-1290,,,,6.3,,,278.3,295.7
29-1291,Master's degree,No experience required,No on-the-job training,6.8,0.9,78140.0,15.399999999999999,16.4
29-1292,Associate's degree,No experience required,No on-the-job training,7.0,15.3,94260.0,221.7,237.2
29-1299,Master's degree,No experience required,No on-the-job training,2.0,2.4,113730.0,41.400000000000006,42.2
29-2000,,,,5.8,,,3205.6,3393.0
29-2010,Bachelor's degree,No experience required,No on-the-job training,1.7,22.6,61890.0,351.2,357.2
29-2030,,,,6.1,,,451.5,478.8
29-2031,Associate's degree,No experience required,No on-the-job training,3.0,3.8,67260.0,64.69999999999999,66.6
29-2032,Associate's degree,No experience required,No on-the-job training,13.0,5.8,89340.0,90.0,101.7
29-2033,Associate's degree,No experience required,No on-the-job training,3.0,0.9,97020.0,20.0,20.6
29-2034,Associate's degree,No experience required,No on-the-job training,4.3,12.9,77660.0,228.0,237.8
29-2035,Associate's degree,Less than 5 years,No on-the-job training,7.1,2.6,88180.0,44.1,47.2
29-2036,Bachelor's degree,No experience required,No on-the-job training,3.5,0.2,138110.0,4.7,4.9
29-2040,,,,5.0,,,282.9,297.2
29-2042,Postsecondary nondegree award,No experience required,No on-the-job training,5.1,14.1,41340.0,181.0,190.2
29-2043,Postsecondary nondegree award,Less than 5 years,No on-the-job training,5.0,4.9,58410.0,101.9,107.0
29-2050,,,,9.5,,,994.3000000000001,1088.4
29-2051,Associate's degree,No experience required,No on-the-job training,2.5,4.0,37040.0,30.9,31.7
29-2052,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,6.4,49.0,43460.0,490.29999999999995,521.8
29-2053,Postsecondary nondegree award,Less than 5 years,Short-term on-the-job training,20.0,15.9,42590.0,144.4,173.3
29-2055,Postsecondary nondegree award,No experience required,No on-the-job training,4.5,7.0,62830.0,115.6,120.8
29-2056,Associate's degree,No experience required,No on-the-job training,9.1,14.3,45980.0,134.20000000000002,146.4
29-2057,Postsecondary nondegree award,No experience required,No on-the-job training,19.8,12.5,44080.0,78.80000000000001,94.4
29-2061,Postsecondary nondegree award,No experience required,No on-the-job training,2.6,54.4,62340.0,651.4,668.5
29-2072,Postsecondary nondegree award,No experience required,No on-the-job training,7.1,14.2,50250.0,194.79999999999998,208.6
29-2081,High school diploma or equivalent,No experience required,Long-term on-the-job training,2.9,6.8,46560.0,79.9,82.2
29-2090,,,,6.3,,,199.6,212.2
29-2091,Master's degree,No experience required,Internship/residency,13.3,0.9,78310.0,10.2,11.5
29-2092,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,18.4,1.0,61560.0,10.6,12.6
29-2099,Postsecondary nondegree award,No experience required,No on-the-job training,5.2,13.6,48790.0,178.79999999999998,188.1
29-9000,,,,8.9,,,146.70000000000002,159.8
29-9021,Associate's degree,No experience required,No on-the-job training,14.7,3.2,67310.0,41.9,48.1
29-9090,,,,6.6,,,104.89999999999999,111.8
29-9091,Master's degree,No experience required,No on-the-job training,11.1,2.4,60250.0,33.800000000000004,37.6
29-9092,Master's degree,No experience required,No on-the-job training,9.3,0.3,98910.0,3.9,4.3
29-9093,Postsecondary nondegree award,No experience required,No on-the-job training,5.1,1.6,60290.0,25.3,26.6
29-9099,Postsecondary nondegree award,No experience required,No on-the-job training,3.6,2.6,64030.0,41.6,43.1
31-1100,,,,13.2,,,5881.5,6655.6
31-1120,High school diploma or equivalent,No experience required,Short-term on-the-job training,17.0,765.8,34900.0,4347.7,5087.5
31-1130,,,,2.2,,,1533.8999999999999,1568.1
31-1131,Postsecondary nondegree award,No experience required,No on-the-job training,2.3,204.1,39530.0,1441.4,1474.0
31-1132,High school diploma or equivalent,No experience required,Short-term on-the-job training,3.3,7.8,37700.0,54.0,55.8
31-1133,High school diploma or equivalent,No experience required,Short-term on-the-job training,-0.4,5.3,41590.0,38.4,38.3
31-2000,,,,16.7,,,211.5,246.9
31-2010,,,,17.6,,,54.4,64.0
31-2011,Associate's degree,No experience required,No on-the-job training,19.2,7.2,68340.0,49.2,58.7
31-2012,High school diploma or equivalent,No experience required,Short-term on-the-job training,2.5,0.6,37370.0,5.2,5.3
31-2020,,,,16.4,,,157.1,182.9
31-2021,Associate's degree,No experience required,No on-the-job training,22.0,19.8,65510.0,111.5,136.0
31-2022,High school diploma or equivalent,No experience required,Short-term on-the-job training,2.8,6.6,34520.0,45.6,46.9
31-9000,,,,9.5,,,1889.7,2068.5
31-9011,Postsecondary nondegree award,No experience required,No on-the-job training,15.4,24.7,57950.0,168.0,193.9
31-9090,,,,8.9,,,1721.6999999999998,1874.6
31-9091,Postsecondary nondegree award,No experience required,No on-the-job training,6.4,52.9,47300.0,381.90000000000003,406.3
31-9092,Postsecondary nondegree award,No experience required,No on-the-job training,12.5,112.3,44200.0,811.0,912.2
31-9093,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,10.0,10.9,46490.0,76.60000000000001,84.2
31-9094,Postsecondary nondegree award,No experience required,No on-the-job training,-4.9,7.4,37550.0,44.0,41.8
31-9095,High school diploma or equivalent,No experience required,Short-term on-the-job training,-0.1,6.1,37000.0,41.2,41.1
31-9096,High school diploma or equivalent,No experience required,Short-term on-the-job training,8.7,22.2,37320.0,117.8,128.1
31-9097,Postsecondary nondegree award,No experience required,No on-the-job training,5.6,18.4,43660.0,139.6,147.5
31-9099,High school diploma or equivalent,No experience required,No on-the-job training,3.5,14.4,46050.0,109.7,113.5
33-1000,,,,2.1,,,408.40000000000003,417.1
33-1010,,,,1.4,,,217.9,220.9
33-1011,High school diploma or equivalent,Less than 5 years,No on-the-job training,-2.8,4.3,76310.0,57.1,55.5
33-1012,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,2.9,10.9,105980.0,160.8,165.4
33-1021,Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training,3.4,6.5,92430.0,97.1,100.5
33-1090,,,,2.5,,,93.3,95.6
33-1091,High school diploma or equivalent,Less than 5 years,No on-the-job training,2.7,7.0,58610.0,71.89999999999999,73.8
33-1099,High school diploma or equivalent,Less than 5 years,No on-the-job training,1.6,2.1,74960.0,21.5,21.8
33-2000,,,,3.5,,,362.5,375.3
33-2011,Postsecondary nondegree award,No experience required,Long-term on-the-job training,3.4,27.1,59530.0,344.9,356.7
33-2020,,,,5.6,,,17.6,18.6
33-2021,Postsecondary nondegree award,5 years or more,Moderate-term on-the-job training,3.8,1.5,78060.0,14.6,15.2
33-2022,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,14.6,0.3,52380.0,2.9,3.3
33-3000,,,,-0.8,,,1241.7,1232.0
33-3010,,,,-7.5,,,406.5,376.0
33-3011,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-2.2,1.8,57050.0,19.0,18.6
33-3012,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-7.8,30.1,57970.0,387.5,357.4
33-3021,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,-0.7,7.8,93580.0,117.89999999999999,117.1
33-3031,Bachelor's degree,No experience required,Moderate-term on-the-job training,-6.0,0.5,68180.0,7.0,6.6
33-3041,High school diploma or equivalent,No experience required,Short-term on-the-job training,-1.5,0.7,47150.0,8.299999999999999,8.2
33-3050,,,,3.1,,,701.9,724.0
33-3051,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,3.1,53.7,76290.0,698.8,720.8
33-3052,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,3.0,0.2,82320.0,3.1,3.2
33-9000,,,,1.0,,,1774.8,1792.2
33-9011,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,3.9,1.3,45830.0,12.2,12.7
33-9021,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,6.0,3.9,52370.0,43.6,46.2
33-9030,,,,0.4,,,1272.4,1277.5
33-9031,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,0.3,1.3,43900.0,10.3,10.3
33-9032,High school diploma or equivalent,No experience required,Short-term on-the-job training,0.4,161.0,38370.0,1262.0,1267.1
33-9090,,,,2.1,,,446.6,455.8
33-9091,No formal educational credential,No experience required,Short-term on-the-job training,3.6,18.0,37700.0,91.4,94.7
33-9092,No formal educational credential,No experience required,Short-term on-the-job training,5.8,42.7,33720.0,149.70000000000002,158.4
33-9093,High school diploma or equivalent,No experience required,Short-term on-the-job training,-6.0,4.7,63360.0,50.1,47.1
33-9094,High school diploma or equivalent,No experience required,Short-term on-the-job training,-2.7,12.6,34980.0,71.5,69.5
33-9099,High school diploma or equivalent,No experience required,Short-term on-the-job training,2.5,23.3,41600.0,84.0,86.1
35-1000,,,,6.2,,,1412.3,1499.3
35-1011,High school diploma or equivalent,5 years or more,No on-the-job training,7.1,24.4,60990.0,197.3,211.3
35-1012,High school diploma or equivalent,Less than 5 years,No on-the-job training,6.0,183.9,42010.0,1215.0,1288.0
35-2000,,,,2.7,,,3707.8,3807.5
35-2010,,,,4.7,,,2805.1,2935.7
35-2011,No formal educational credential,No experience required,Short-term on-the-job training,-13.5,82.1,30160.0,669.5,579.2
35-2012,No formal educational credential,No experience required,Short-term on-the-job training,2.0,69.7,36450.0,466.09999999999997,475.4
35-2013,Postsecondary nondegree award,Less than 5 years,No on-the-job training,5.1,5.3,44530.0,34.3,36.0
35-2014,No formal educational credential,Less than 5 years,Moderate-term on-the-job training,14.9,250.7,36830.0,1460.2,1677.2
35-2015,No formal educational credential,No experience required,Short-term on-the-job training,-5.6,20.6,35620.0,151.1,142.7
35-2019,No formal educational credential,No experience required,Moderate-term on-the-job training,5.5,3.7,36210.0,24.0,25.3
35-2021,No formal educational credential,No experience required,Short-term on-the-job training,-3.4,148.0,34220.0,902.6999999999999,871.8
35-3000,,,,3.8,,,7159.7,7429.5
35-3011,No formal educational credential,No experience required,Short-term on-the-job training,5.9,129.6,33530.0,756.7,801.5
35-3023,No formal educational credential,No experience required,Short-term on-the-job training,6.1,904.3,30480.0,3796.0,4029.2
35-3031,No formal educational credential,No experience required,Short-term on-the-job training,-0.7,456.7,33760.0,2329.8,2313.5
35-3041,No formal educational credential,No experience required,Short-term on-the-job training,3.0,48.0,34460.0,277.1,285.3
35-9000,,,,2.2,,,1525.6,1559.0
35-9011,No formal educational credential,No experience required,Short-term on-the-job training,6.3,99.6,32670.0,527.5,560.6
35-9021,No formal educational credential,No experience required,Short-term on-the-job training,0.2,76.8,33670.0,477.70000000000005,478.6
35-9031,No formal educational credential,No experience required,Short-term on-the-job training,-1.5,107.7,30380.0,429.9,423.5
35-9099,No formal educational credential,No experience required,Short-term on-the-job training,6.4,14.6,34830.0,90.5,96.3
37-1000,,,,2.4,,,494.5,506.4
37-1011,High school diploma or equivalent,Less than 5 years,No on-the-job training,2.5,33.0,47520.0,269.7,276.4
37-1012,High school diploma or equivalent,Less than 5 years,No on-the-job training,2.3,23.2,56170.0,224.8,230.0
37-2000,,,,1.5,,,3924.8999999999996,3984.2
37-2010,,,,1.4,,,3822.6000000000004,3876.8
37-2011,No formal educational credential,No experience required,Short-term on-the-job training,2.0,351.3,35930.0,2447.7,2495.5
37-2012,No formal educational credential,No experience required,Short-term on-the-job training,0.4,193.5,34660.0,1356.8,1362.8
37-2019,No formal educational credential,No experience required,Short-term on-the-job training,2.5,2.6,42360.0,18.0,18.5
37-2021,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,4.9,13.4,44730.0,102.4,107.5
37-3000,,,,3.5,,,1296.3999999999999,1342.3
37-3011,No formal educational credential,No experience required,Short-term on-the-job training,3.6,158.2,38090.0,1192.6,1235.0
37-3012,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,3.8,4.1,45200.0,29.599999999999998,30.7
37-3013,High school diploma or equivalent,No experience required,Short-term on-the-job training,3.3,7.4,50430.0,60.1,62.1
37-3019,No formal educational credential,No experience required,Short-term on-the-job training,2.4,1.9,43410.0,14.2,14.5
39-1000,,,,6.1,,,304.9,323.4
39-1010,,,,5.4,,,155.8,164.3
39-1013,High school diploma or equivalent,Less than 5 years,No on-the-job training,2.0,3.3,61590.0,32.5,33.1
39-1014,High school diploma or equivalent,Less than 5 years,No on-the-job training,6.3,13.4,46900.0,123.3,131.1
39-1022,High school diploma or equivalent,Less than 5 years,No on-the-job training,6.7,16.3,47080.0,149.1,159.1
39-2000,,,,11.4,,,439.4,489.4
39-2011,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,5.1,7.1,38750.0,47.4,49.8
39-2021,High school diploma or equivalent,No experience required,Short-term on-the-job training,12.1,74.6,33470.0,392.0,439.6
39-3000,,,,2.3,,,659.8,674.8
39-3010,,,,-1.0,,,113.0,111.8
39-3011,High school diploma or equivalent,No experience required,Short-term on-the-job training,-0.6,14.1,33280.0,88.69999999999999,88.1
39-3012,High school diploma or equivalent,No experience required,Short-term on-the-job training,-6.1,1.2,30460.0,8.2,7.7
39-3019,High school diploma or equivalent,No experience required,Short-term on-the-job training,-0.6,2.6,34530.0,16.1,16.0
39-3021,No formal educational credential,No experience required,Short-term on-the-job training,-3.7,0.5,38180.0,2.1,2.0
39-3031,No formal educational credential,No experience required,Short-term on-the-job training,1.2,30.8,31150.0,121.69999999999999,123.1
39-3090,,,,3.5,,,423.1,438.0
39-3091,No formal educational credential,No experience required,Short-term on-the-job training,3.4,102.4,30490.0,392.3,405.5
39-3092,High school diploma or equivalent,No experience required,Short-term on-the-job training,5.9,1.8,54810.0,6.699999999999999,7.1
39-3093,High school diploma or equivalent,No experience required,Short-term on-the-job training,6.4,4.2,34800.0,15.600000000000001,16.6
39-3099,High school diploma or equivalent,No experience required,Short-term on-the-job training,3.6,2.2,34550.0,8.5,8.8
39-4000,,,,3.0,,,66.8,68.8
39-4010,,,,2.2,,,6.7,6.9
39-4011,Associate's degree,No experience required,Long-term on-the-job training,1.3,0.6,56280.0,3.7,3.7
39-4012,High school diploma or equivalent,No experience required,Short-term on-the-job training,3.3,0.6,42880.0,3.1,3.2
39-4021,High school diploma or equivalent,No experience required,Short-term on-the-job training,3.1,5.7,34610.0,32.5,33.5
39-4031,Associate's degree,No experience required,Long-term on-the-job training,3.1,3.2,49800.0,27.599999999999998,28.4
39-5000,,,,5.9,,,984.2,1042.4
39-5010,,,,5.4,,,651.3000000000001,686.6
39-5011,Postsecondary nondegree award,No experience required,No on-the-job training,4.1,8.4,38960.0,76.10000000000001,79.2
39-5012,Postsecondary nondegree award,No experience required,No on-the-job training,5.6,75.8,35250.0,575.1999999999999,607.4
39-5090,,,,6.9,,,333.0,355.8
39-5091,Postsecondary nondegree award,No experience required,No on-the-job training,8.1,1.1,50280.0,7.0,7.6
39-5092,Postsecondary nondegree award,No experience required,No on-the-job training,7.0,24.8,34660.0,210.10000000000002,224.8
39-5093,No formal educational credential,No experience required,Short-term on-the-job training,5.5,2.7,31470.0,18.6,19.6
39-5094,Postsecondary nondegree award,No experience required,No on-the-job training,6.7,14.5,41560.0,97.30000000000001,103.9
39-6000,,,,0.7,,,78.1,78.6
39-6011,High school diploma or equivalent,No experience required,Short-term on-the-job training,-1.6,4.6,36020.0,32.5,32.0
39-6012,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,2.3,6.8,37320.0,45.6,46.7
39-7000,,,,8.1,,,55.8,60.3
39-7010,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,8.1,13.0,36660.0,55.8,60.3
39-9000,,,,2.0,,,1875.1000000000001,1912.9
39-9011,High school diploma or equivalent,No experience required,Short-term on-the-job training,-2.9,160.2,32050.0,991.6,962.4
39-9030,,,,8.2,,,697.8,755.3
39-9031,High school diploma or equivalent,No experience required,Short-term on-the-job training,11.9,74.2,46180.0,370.09999999999997,414.2
39-9032,High school diploma or equivalent,No experience required,Short-term on-the-job training,4.1,68.1,35380.0,327.70000000000005,341.1
39-9041,High school diploma or equivalent,No experience required,Short-term on-the-job training,3.8,17.4,39180.0,91.2,94.7
39-9099,High school diploma or equivalent,No experience required,Short-term on-the-job training,6.4,16.1,37900.0,94.4,100.4
